epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,356.497,0.48029,0.39345,0.83461,0.98431,0.63159,0.6603,0.47182,0.5278,0.35702,0.8724,0.000132098,0.000132098,0.000132098
91,360.746,0.4974,0.40559,0.81431,0.98333,0.63118,0.6603,0.46853,0.54173,0.37456,0.87522,0.000121099,0.000121099,0.000121099
92,365.084,0.48541,0.41822,0.81602,0.98019,0.65927,0.66333,0.46772,0.53038,0.38189,0.87322,0.0001101,0.0001101,0.0001101
93,369.218,0.46775,0.41333,0.80349,0.9851,0.63156,0.6603,0.47354,0.52194,0.37691,0.87111,9.91012e-05,9.91012e-05,9.91012e-05
94,373.459,0.48013,0.40227,0.8054,0.98446,0.63128,0.65778,0.48062,0.50428,0.37215,0.86943,8.81023e-05,8.81023e-05,8.81023e-05
95,377.402,0.46329,0.37614,0.80348,0.98245,0.6293,0.65778,0.49112,0.50561,0.37587,0.8697,7.71034e-05,7.71034e-05,7.71034e-05
96,381.34,0.47014,0.39092,0.79678,0.98177,0.62711,0.65222,0.48239,0.52357,0.38542,0.87536,6.61045e-05,6.61045e-05,6.61045e-05
97,385.137,0.47932,0.38697,0.79997,0.98102,0.6274,0.64961,0.47774,0.51357,0.38347,0.874,5.51056e-05,5.51056e-05,5.51056e-05
98,388.921,0.44534,0.39636,0.80633,0.98143,0.62964,0.65381,0.48052,0.5055,0.37712,0.87314,4.41067e-05,4.41067e-05,4.41067e-05
99,392.88,0.47395,0.39762,0.80841,0.98179,0.6298,0.64961,0.47914,0.50046,0.37696,0.87389,3.31078e-05,3.31078e-05,3.31078e-05
100,396.717,0.44022,0.37885,0.82001,0.98212,0.62963,0.64961,0.47864,0.49668,0.37591,0.87319,2.21089e-05,2.21089e-05,2.21089e-05
