epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,566.17,0.84306,1.60455,0.67147,0.94421,0.84917,0.57674,0.57091,0.36876,0.86167,0.59517,0.61201,0.31602,0.98776,2.62209,0.84122,0.95358,0.000470145,0.000470145,0.000470145
46,578.517,0.82156,1.50148,0.64553,0.92589,0.87701,0.58858,0.59277,0.36129,0.74539,0.58639,0.5733,0.30432,1.05181,2.77475,0.88215,0.98812,0.000461898,0.000461898,0.000461898
47,590.98,0.82477,1.55887,0.64263,0.93219,0.84917,0.5816,0.58242,0.37031,0.80359,0.57843,0.56476,0.27763,1.03056,3.09982,0.88375,0.97125,0.000453652,0.000453652,0.000453652
48,604.06,0.80487,1.53309,0.6282,0.93134,0.85462,0.53642,0.54198,0.36228,0.77929,0.5184,0.52226,0.30271,0.98745,2.89837,0.90571,0.9609,0.000445405,0.000445405,0.000445405
49,616.423,0.83521,1.60052,0.63897,0.93882,0.84898,0.55539,0.5713,0.37647,0.81973,0.59249,0.59304,0.34558,0.97739,2.36019,0.85698,0.94228,0.000437158,0.000437158,0.000437158
50,629.038,0.81623,1.50767,0.63416,0.93898,0.86716,0.57983,0.58215,0.39724,0.82222,0.58004,0.57862,0.34125,1.01663,2.44682,0.91377,0.96215,0.000428912,0.000428912,0.000428912
51,641.396,0.79966,1.48668,0.62918,0.9242,0.8613,0.55807,0.56118,0.36172,0.82319,0.56971,0.54852,0.31638,1.01912,2.50904,0.99372,0.96906,0.000420665,0.000420665,0.000420665
52,653.633,0.81739,1.55282,0.62431,0.93005,0.89684,0.5358,0.58742,0.37932,0.84967,0.5703,0.56456,0.29452,1.08161,2.59224,1.03447,1.01896,0.000412418,0.000412418,0.000412418
53,666.17,0.79535,1.44556,0.60163,0.92731,0.77659,0.58118,0.58182,0.37246,0.73836,0.58909,0.56459,0.27861,1.08631,2.92077,1.05593,1.00656,0.000404172,0.000404172,0.000404172
54,678.609,0.80129,1.49171,0.61893,0.92508,0.73115,0.58413,0.56224,0.36572,0.72287,0.58014,0.5719,0.28483,1.04668,2.83629,0.94082,0.99761,0.000395925,0.000395925,0.000395925
55,691.466,0.78535,1.4859,0.60519,0.92552,0.7907,0.61268,0.59314,0.37134,0.79847,0.60521,0.60864,0.29765,1.03585,2.80683,0.95564,0.9675,0.000387678,0.000387678,0.000387678
56,704.039,0.78813,1.47996,0.59839,0.92646,0.831,0.62033,0.58849,0.38748,0.87481,0.58803,0.59177,0.33948,0.99852,2.78114,0.95017,0.98496,0.000379431,0.000379431,0.000379431
57,716.821,0.79032,1.54251,0.62195,0.92788,0.80263,0.58027,0.57856,0.36905,0.86207,0.58283,0.59705,0.34625,0.97423,2.59475,0.93052,0.95318,0.000371185,0.000371185,0.000371185
58,729.64,0.78472,1.48499,0.60232,0.92628,0.82612,0.57434,0.58785,0.36884,0.85946,0.58031,0.61188,0.35296,0.98585,2.87432,0.88203,0.94711,0.000362938,0.000362938,0.000362938
59,742.547,0.80996,1.45816,0.60969,0.93665,0.85929,0.58334,0.61138,0.3724,0.86324,0.58153,0.58769,0.33297,1.00766,2.73903,0.92558,0.95733,0.000354691,0.000354691,0.000354691
60,754.923,0.7958,1.49498,0.59854,0.92453,0.81195,0.57565,0.58403,0.36156,0.82729,0.57813,0.56074,0.31832,1.03605,2.63364,0.92138,0.94438,0.000346445,0.000346445,0.000346445
61,767.121,0.78772,1.44899,0.59276,0.92537,0.83973,0.54743,0.57417,0.37972,0.84695,0.57203,0.60115,0.29305,0.96862,2.675,0.91583,0.95311,0.000338198,0.000338198,0.000338198
62,779.612,0.77732,1.49211,0.5833,0.92218,0.868,0.53514,0.57393,0.37774,0.83382,0.61684,0.61425,0.32365,0.96859,2.56986,1.00458,0.95,0.000329951,0.000329951,0.000329951
63,791.955,0.74568,1.41685,0.60186,0.91477,0.86903,0.56053,0.60457,0.387,0.86295,0.60282,0.62796,0.36411,0.91136,2.82301,0.93207,0.92782,0.000321705,0.000321705,0.000321705
64,804.254,0.78891,1.51418,0.59074,0.91967,0.83226,0.58816,0.5674,0.37923,0.86411,0.59442,0.60434,0.29643,1.00765,2.54894,0.82571,0.96128,0.000313458,0.000313458,0.000313458
65,816.6,0.78277,1.45644,0.59537,0.92534,0.78157,0.57983,0.59962,0.38546,0.80504,0.58163,0.61109,0.29348,0.98736,2.53658,0.8687,0.96801,0.000305211,0.000305211,0.000305211
66,829.011,0.74648,1.46846,0.56464,0.91974,0.82244,0.56131,0.58116,0.37903,0.78439,0.5346,0.53352,0.28296,0.97776,2.61973,0.82864,0.96155,0.000296964,0.000296964,0.000296964
67,841.193,0.78528,1.44934,0.57891,0.92671,0.84149,0.57558,0.59354,0.36544,0.89945,0.59165,0.60089,0.32449,1.04101,2.74951,0.90586,0.97761,0.000288718,0.000288718,0.000288718
